date,NEGMENTION
19940204,1.146484745
19940322,1.936183395
19940517,2.111826227
19940706,1.805107132
19940816,1.607717042
19940927,1.917861294
19941115,1.403755045
19941220,1.764705882
19950201,1.964071856
19950328,1.856325493
19950523,2.217821782
19950706,1.93639576
19950822,2.026114363
19950926,1.668677121
19951115,2.081307139
19951219,1.739130435
19960130,1.540816327
19960326,2.010050251
19960521,1.409052092
19960702,1.5379686
19960820,2.388996139
19960924,1.713830211
19961113,1.645147855
19961217,1.66453265
19970204,1.200897868
19970325,2.145284622
19970520,1.615910503
19970701,1.292379993
19970819,1.824034335
19970930,1.788908766
19971112,1.665612482
19971216,1.859549333
19980203,1.397293432
19980331,2.392130561
19980519,2.563626231
19980630,2.119040199
19980818,2.346958733
19980929,2.66929416
19981117,2.491793494
19981222,1.873828857
19990202,1.377568591
19990330,1.515494232
19990518,1.466340813
19990629,1.648261085
19990824,1.685393258
19991005,1.489169675
19991116,1.806840181
19991221,1.827171109
20000202,1.252833791
20000321,1.444043321
20000516,1.722440945
20000628,1.919122687
20000822,1.835956128
20001003,1.858242633
20001115,2.192281343
20001219,2.674736431
20010131,2.009548129
20010320,2.745424293
20010515,3.040676601
20010627,3.324548956
20010821,3.171291467
20011002,3.719762665
20011106,3.234946871
20011211,3.032967033
20020130,1.886314723
20020319,2.032786885
20020507,2.175582288
20020626,2.220647295
20020813,2.615844544
20020924,2.409319566
20021106,2.520451028
20021210,2.730899049
20030129,1.539491299
20030318,2.909689816
20030506,2.598726115
20030625,2.598710717
20030812,1.387797853
20030916,1.502801834
20031028,1.339046599
20031209,1.785714286
20040128,1.065199579
20040316,1.71574904
20040504,1.349072513
20040630,1.481317709
20040810,2.011494253
20040921,1.580637194
20041110,1.547987616
20041214,1.473202946
20050202,0.915621919
20050322,1.128880527
20050503,1.469171484
20050630,1.724539734
20050809,1.1966861
20050920,1.747742499
20051101,1.957585644
20051213,1.291618829
20060131,0.963105645
20060328,1.268656716
20060510,1.345083488
20060629,1.514787208
20060808,1.436314363
20060920,1.832390191
20061025,2.308214528
20061212,1.964588892
20070131,1.196423876
20070321,2.062606164
20070509,2.533143939
20070628,1.907006642
20070807,2.382588774
20070918,2.664746129
20071031,2.682971345
20071211,2.970464135
20080130,2.123875288
20080318,3.225270158
20080430,2.537998279
20080625,2.682255846
20080805,2.714313611
20080916,3.147699758
20081029,2.904616946
20081216,3.220179793
20090128,2.143323083
20090318,2.853418308
20090429,2.334931189
20090624,2.540923528
20090812,2.414341478
20090923,2.092274678
20091104,1.896551724
20091216,2.004791325
20100127,1.441839894
20100316,2.28345258
20100428,2.053915276
20100623,1.766425213
20100810,2.19581892
20100921,2.180426099
20101103,2.05274412
20101214,2.062942328
20110126,1.361196319
20110315,1.595348144
20110427,1.678376269
20110622,2.279163857
20110809,2.758829771
20110921,2.523923445
20111102,2.12514758
20111213,2.217821782
20120125,1.786721836
20120313,1.872124385
20120425,2.174846187
20120620,2.490833228
20120801,2.088920254
20120913,2.248855373
20121024,1.991726674
20121212,2.344790834
20130130,1.55720436
20130320,1.943240598
20130501,1.923076923
20130619,1.868811881
20130731,1.679367767
20130918,1.864573111
20131030,1.894290635
20131218,1.949541284
20140129,1.432880845
20140319,2.151452534
20140430,1.569741366
20140618,1.639537627
20140730,1.675696107
20140917,1.621979477
20141029,1.916545366
20141217,1.699451358
20150128,1.586638831
20150318,1.462954224
20150429,2.098831031
20150617,1.609482221
20150729,1.682778375
20150917,2.232746955
20151028,2.153229845
20151216,1.952249044
20160127,1.680176861
20160316,1.976079043
20160427,2.079948001
20160615,2.175752448
20160727,2.093983484
20160921,1.430708809
20161102,1.45858278
20161214,1.344699244
20170201,1.104660539
20170315,1.237596165
20170503,1.646090535
20170614,1.617680565
20170726,1.847636899
20170920,1.591328413
20171101,1.820356099
20171213,1.376146789
20180131,1.010682005
20180321,1.575774185
20180502,1.238738739
20180613,1.23783032
20180801,1.589978318
20180926,1.345668629
20181108,1.633591481
20181219,1.82012848
20190130,1.417643343
20190320,1.791782515
20190501,1.61883738
20190619,1.876261727
20190731,1.705855233
20190918,2.204520193
20191030,1.977829173
20191211,1.916706105
20200129,1.40887975
20200315,2.977567649
20200429,3.16962354
20200610,2.123356926
20200729,2.022497443
20200916,1.656231064
20201105,2.013063497
20201216,1.778606965
20210127,1.491093737
20210317,1.527247484
20210428,1.718768024
20210616,1.366091285
20210728,1.760529131
20210922,2.107566509
20211103,1.910440496
20211215,1.606469003
20220126,1.285385244
20220316,1.654240447
20220504,1.881550701
20220615,2.197802198
20220727,2.371038631
20220921,2.327935223
20221102,2.461538462
20221214,2.567049808
20230201,2.144586648
20230322,1.861025572
20230503,2.560351134
20230614,1.781170483
20230726,1.951431049
20230920,1.934411365
20231101,1.782350384
20231213,1.964493597
